SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	March 20, 2022	March 18, 2022	March 17, 2022	March 16, 2022	March 15, 2022
Chinese yuan		0.1138020000	0.1138910000	0.1140380000	0.1136320000
Euro		0.7969780000	0.7989170000	0.7958730000	0.7968390000
Japanese yen		0.0061004300	0.0060766200	0.0061146700	0.0061320500
U.K. pound		0.9505740000	0.9510580000	0.9477510000	0.9464770000
U.S. dollar		0.7239990000	0.7229360000	0.7239160000	0.7249920000
Algerian dinar		0.0050914500	0.0050808800	0.0050735100	0.0050859600
Australian dollar		0.5343110000	0.5290450000	0.5217260000	0.5209790000
Botswana pula		0.0627707000	0.0625340000	0.0623292000	0.0622768000
Brazilian real		0.1436360000	0.1424280000	0.1411670000	0.1413020000
Brunei dollar		0.5340410000	0.5324710000	0.5305750000	0.5305080000
Canadian dollar		0.5738280000	0.5714460000	0.5690720000	0.5662670000
Chilean peso		0.0009071190	0.0008996780	0.0008882080	0.0008968120
Czech koruna		0.0320822000	0.0322408000	0.0322242000	0.0320467000
Danish krone		0.1070880000	0.1073240000	0.1069550000	0.1070870000
Indian rupee			0.0095256600	0.0094817700	0.0094785200
Israeli New Shekel				0.2218560000	0.2205630000
Korean won		0.0005931500	0.0005828250	0.0005830040	0.0005853320
Kuwaiti dinar			2.3792500000	2.3813000000	2.3848400000
Malaysian ringgit		0.1722580000	0.1725380000	0.1723810000	0.1722970000
Mauritian rupee		0.0164407000	0.0164767000	0.0165282000	0.0165555000
Mexican peso		0.0354649000	0.0351648000	0.0349659000	0.0347313000
New Zealand dollar		0.4990530000	0.4947050000	0.4881370000	0.4886450000
Norwegian krone		0.0822138000	0.0816886000	0.0812212000	0.0809053000
Omani rial			1.8802000000	1.8827500000	1.8855400000
Peruvian sol		0.1925020000	0.1938170000	0.1944440000	0.1945760000
Philippine peso		0.0138785000	0.0138268000	0.0138147000	0.0138297000
Polish zloty		0.1695270000	0.1704920000	0.1690290000	0.1686340000
Qatari riyal			0.1986090000	0.1988780000	0.1991740000
Russian ruble		0.0069647200	0.0068981700	0.0066996900	0.0065032000
Saudi Arabian riyal			0.1927830000	0.1930440000	0.1933310000
Singapore dollar		0.5340410000	0.5324710000	0.5305750000	0.5305080000
South African rand		0.0483328000	0.0483471000	0.0481865000	0.0478762000
Swedish krona		0.0767737000	0.0768141000	0.0759236000	0.0755106000
Swiss franc		0.7737930000	0.7692040000	0.7701640000	0.7720480000
Thai baht		0.0217371000	0.0217405000	0.0216489000	0.0216428000
Trinidadian dollar		0.1074090000	0.1071780000	0.1072550000	0.1074860000
U.A.E. dirham			0.1968510000	0.1971180000	0.1974110000
Uruguayan peso		0.0169885000	0.0170075000	0.0169726000	0.0169395000

Currency units per SDR(3)

Currency	March 20, 2022	March 18, 2022	March 17, 2022	March 16, 2022	March 15, 2022
Chinese yuan		8.787190	8.780330	8.769010	8.800340
Euro		1.254740	1.251690	1.256480	1.254960
Japanese yen		163.923000	164.565000	163.541000	163.078000
U.K. pound		1.052000	1.051460	1.055130	1.056550
U.S. dollar		1.381220	1.383250	1.381380	1.379330
Algerian dinar		196.408000	196.816000	197.102000	196.620000
Australian dollar		1.871570	1.890200	1.916710	1.919460
Botswana pula		15.931000	15.991300	16.043800	16.057300
Brazilian real		6.962040	7.021090	7.083810	7.077040
Brunei dollar		1.872520	1.878040	1.884750	1.884990
Canadian dollar		1.742680	1.749950	1.757250	1.765950
Chilean peso		1,102.390000	1,111.510000	1,125.860000	1,115.060000
Czech koruna		31.169900	31.016600	31.032600	31.204500
Danish krone		9.338110	9.317580	9.349730	9.338200
Indian rupee			104.980000	105.466000	105.502000
Israeli New Shekel				4.507430	4.533850
Korean won		1,685.910000	1,715.780000	1,715.250000	1,708.430000
Kuwaiti dinar			0.420301	0.419939	0.419315
Malaysian ringgit		5.805250	5.795820	5.801100	5.803930
Mauritian rupee		60.824700	60.691800	60.502700	60.402900
Mexican peso		28.196900	28.437500	28.599300	28.792500
New Zealand dollar		2.003800	2.021410	2.048610	2.046480
Norwegian krone		12.163400	12.241600	12.312100	12.360100
Omani rial			0.531858	0.531138	0.530352
Peruvian sol		5.194750	5.159510	5.142870	5.139380
Philippine peso		72.053900	72.323300	72.386700	72.308100
Polish zloty		5.898770	5.865380	5.916140	5.930000
Qatari riyal			5.035020	5.028210	5.020740
Russian ruble		143.581000	144.966000	149.261000	153.770000
Saudi Arabian riyal			5.187180	5.180170	5.172480
Singapore dollar		1.872520	1.878040	1.884750	1.884990
South African rand		20.689900	20.683800	20.752700	20.887200
Swedish krona		13.025300	13.018400	13.171100	13.243200
Swiss franc		1.292340	1.300050	1.298420	1.295260
Thai baht		46.004300	45.997100	46.191700	46.204700
Trinidadian dollar		9.310210	9.330270	9.323570	9.303540
U.A.E. dirham			5.079980	5.073100	5.065570
Uruguayan peso		58.863300	58.797600	58.918500	59.033600


(1) Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.

(2) The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.The value in terms of the SDR of each of the other currencies shown above is derived from that currency's representative exchange rate against the U.S. dollar as reported by the issuing central bank and the SDR value of the U.S. dollar, except for the Iranian rial and the Libyan dinar, the values of which are officially expressed directly in terms of domestic currency units per SDR. All figures are rounded to six significant digits. See Representative Exchange Rates for Selected Currencies".

(3) The value in terms of each national currency of the SDR is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.
